prompt,completion
How are the different cells formed?,0
Can you get tea tree oil naturally from foods?,1
Computer programs that are long lists of numbers are called what?,0
How delicious is the taste of coffee?,0
What component of the printed circuit board is appraised with boundary scan testing?,0
WWhat's the first thing to happen when the switch is activated?,0
should i go to er? i have had back pain chest pain and slight shortness of breath for well over a week now. in the past couple of days my upper left abdomen has swollen is extremely painful and very tender to the touch. my left side and my back also,1
How fast was the delivery?,0
Bad Company's self titled debut album was released in what year?,0
have had radioactive iodine for modular hyperthyroid 10months ago. last labs show low hypo now. having hand tremors and fast heart rate hypo related?,1
What lifestyle changes can I implement to treat multiple sclerosis?,1
What are the benefits of Kegel exercises for new moms and how is it done?,1
Can I use my hands if I am using gloves to help rheumatoid arthritis?,1
"Does having unprotected sex, multiple sexual partners, and poor communication increase or decrease individual and social risk?",1
What was the grand strategy of prime minister William Pitt?,0
What compound made the diphtheria vaccine safer to use?,0
i finished my treatment for breast cancer and had a bilateral mastectomy in february. i just found a lump on my rib cage on the same side as the cancer. could it be cancer?,1
What led the National Hockey League to cancel the 2004-2005 season?,0
"During Richard's rule, what did John successfully do?",0
What are some tricks to help get the solution down in preparation for a colonoscopy?,1
What method of execution did the Nebraska Supreme Court rule unconstitutional?,0
Devotion is an important part of the practice of most what?,0
At what milestone was the archive made public?,0
How good it's the write?,0
i have atrial fibrillation. i take daily concor 10mg dabigatran 220mg lasix 40mg and aldactone (spironolactone) 25mg . now i have erectile problem. what shall i do?,1
after eating mcdonalds i have severe lower abdominal pain. i figured it was gas and i have had a bowel movement but it hurts to stand/move. help!,1
With whom does UNFPA work in partnership?,0
why does my month old sound like she's having trouble breathing sounds like she's snorting?,1
"Eye gaze, vocalization and body posture are examples of what?",0
Why are sodas and high sugar fruit juices not recommended?,1
what happens in the heart of chf patients?,1
i have very high cholesterol. meds cause pain in all my muscles. i watch my diet and exercise? what else can i do. i also use coq10.,1
How is portion?,0
what are restrictions of having pacemaker?,1
What presidential powers were included in 2007 law changes?,0
what happens if the lungs & heart have fluid around them is it able to recover completely?,1
Few AA guns are able to fire which way?,0
With whom was it said the the movement ended?,0
For how long was he exiled this time?,0
Garuda is the national symbol of which 2 countries?,0
How is the texture?,0
What types of doctrines do denominations not agree on?,0
Who did the Numidians form an alliance with?,0
What are types of heart pump drugs?,1
How can you select the right treatment for acoustic neuroma?,1
How is decor?,0
i am currently 18 years old and of a medium/heavy build. my height is 5 foot 6 inches abd i weigh around 133lbs. is this overweight?,1
What conception of right and wrong did Climacus believe Hegel endorsed?,0
Why are the tops of glaciers rigid?,0
What tests are used to diagnose appendicitis?,1
Athens allied with what region to eliminate Macedonian rule?,0
What does Lyme disease do to the body? Is it common?,1
How often should you get a mammogram?,1
What are the menu options?,0
how can i decrease chubby cheeks?,1
why do my breast implants have symmastia?,1
How are chatter marks formed?,0
What vaccinations are important for seniors? ,1
How are antennas oriented when arranged with specific spacing?,0
Cities in what geographic part of Libya were controlled by rebels?,0
can stevia cause blabber problems? any answers appreciated!,1
Is there a specific flu vaccine for older adults?,1
Xinhua and CCTV focused on people who what?,0
do montgomery glands (bumps on areola) fall off? mine fell and bled i'm scared?,1
what are the final symptoms of copd-emphysema?,1
Why was Frederick's defeat of Daun so costly?,0
Edwin Hubble's discovery about galaxies allowed for which theory by Georges Lemaitre?,0
How much fiber do you have?,0
What could public rites and magic easily become in some circumstances?,0
How does a penile clamp help male incontinence?,1
Where can I buy protein?,0
What concern did Hills raise about police models?,0
What is hepatitis B (HBV)?,1
what can be done to reduce/eliminate snoring without using a mask at night?,1
What is an oral cavity in relation to dental health?,1
How is a brachytherapy done to treat colon cancer with liver metastasis?,1
In what borough is Pennsylvania Station located?,0
what is a good pulse rate at rest after exercise?,1
FST values as low as what amount have been found in some studies?,0
How do charges accumulate on each plate of a capacitor after an electric field has developed across the dielectric?,0
what can cause restenosis after angioplasty?,1
What is the joint capsule and join architecture in the ankle?,1
What are the symptoms of kidney problems caused by diabetes?,1
What are the side effects of taking fiber?,1
How can fish help treat rheumatoid arthritis (RA) inflammation?,1
does my hiatal hernia increases my chances of dangerous bacterial infections?,1
What is the best way to make sure shoes fit properly?,1
How would you rate the video  of the song by Jimmy Gait?,0
what does skin look like in early scleroderma? i have raynauds acid reflux & spider veins on chest chin. skin has slightly dark patch all over body.,1
What other types of wave besides light has its own intensity?,0
my ecg said ant/septal and later st t changed are abnormal what does this mean?,1
"Aspiration is what, in English and some other languages?",0
How were the stunts?,0
Do you want some dinner?,0
What compression algorithms provide higher compression at the cost of fidelity?,0
How would you rate the dessert served in the hotel?,0
Why is the menu so creative?,0
What are signs of low iron relative to a ferritin blood test?,1
What sleep milestones should you expect in your 3-month-old?,1
How are the Canadian forces ranked in size compared to other military?,0
 With what feature of environment do plants need to be in sync?,0
Is it a good seat?,0
What does dairy allergy involve?,1
i feel dull restless and lazy all times of day. plz advice a good diet plan.,1
How is chronic pancreatitis treated?,1
im 19 suffer sever left breast pain with a large vain that goes through boob and branch vains to nipple i hve been referd to breast clinic what mean?,1
i want to know if protein supplements can damage my liver if my ldh levels are higher than normal? or if i have tachicardia thanks.,1
How is the show?,0
i have a defibrillator implanted over my left breast. it has hurt ever since placed. i hurt severely at times. the ep doc says it os nerves around the device. the otc meds do not work. what can i do?,1
Of what see was Berkeley bishop?,0
How is the scenery?,0
For whom are the Marshall Islands named?,0
How is the taste?,0
What is hemicrania continua?,1
Why is soy necessary after breast cancer surgery?,1
How was the taste of this?,0
What causes PTSD?,1
Bribes can be direct or what?,0
wondering if it's necessary that arteriosclerosis always lead to attack?,1
"What component of the Super Slim did CNET call ""the easiest yet""?",0
Is painful sex during pregnancy normal?,1
how can i loose my waist fat?,1
What could Sumerian gods be associated with?,0
Zn(OH)2 is dissolved to form what in strong alkaline solutions?,0
Drug reps have been accused of giving what to health professionals?,1
what is a normal blood pressure for a female adult?,1
Can chemotherapy cause side effects?,1
How long does Aruba's biggest celebration last?,0
What problem arises for fast and large capacity elevators?,0
what does it mean when the ecg says left axis deviation and t wave abnormality?,1
Why have Eritrean government officials participated in numerous meetings with NGO representatives?,0
"Generally, what types of teams call Nanjing home?",0
Why is hormone treatment used for prostate cancer?,1
What antibiotics might my doctor use to treat Lyme disease?,1
How are retinoids used to treat moderate to severe psoriasis?,1
Hard disk drives are what type of peripheral device?,0
i am on the beta-blocker pindolol and was wondering if i do drink what effects would it cause?,1
What thus is the level of economic incentive and benefit?,0
How is the documentary?,0
Can ADHD medicine lead to changes in growth?,1
Youtube offers users the option to watch content where?,0
Can bacteria survive inside rocks under the sea level?,0
How do you get hepatitis C?,1
what doctor should i see seen a lung and heart and gastro for breathless and heart beat feels like it's weak no strength when working out or running over 8 months headaches everyday. ticking feeling and hearing in throat lump feeling. feels cancer?,1
what can i do if my uncle just had a heart attack now hes in a coma for 2 days already when will he wake up?,1
Adult Top 40 represented a midpoint between what two radio formats?,0
"What types of control are considered when labeling a country with the perjorative ""51st state"" label?",0
What describes the space-and-time dependence of a slowly changing wave function of quantum systems?,0
How is the sandwich?,0
How is the bathroom?,0
Would a lower GAI mean higher apparent saturation or vividness of object colors?,0
How did the British invaders respond to the arrival of French relief forces?,0
my dr. prescribed me systemic vibramycin (doxycycline) for a mild cellulitis in my upper eyelid dt. mosquito bite. is this effective? !,1
how often should a normal healthy person get a tetanus shot?,1
"What concept is based on adherence to Masonic Landmarks, basic membership requirements, and tenets and rituals of the craft?",0
What is the quality of the pair?,0
What is chlamydia?,1
How do cancer patients usually control their background pain?,1
"What orchestra with a name that starts with ""B"" has played at the Guildhall?",0
What do you think about the concept of the film?,0
which is higher: diastolic or systolic pressure?,1
What Nigerian state is trying to make Sharia law part of its constitution?,0
Each cardinal priest has what?,0
What's a good diet for healthy eyes?,1
i take seroquel (quetiapine) 400mg and have experienced that my heart is pounding really hard should i get a ekg. could it be dangerous?,1
how long will you have to stay on a low carb diet before you begin to lose weight?,1
i have had ringing and my heart beat in my ears for over 2 months now how can i make it stop. side effect of meds? venlafaxine trazodone ambilify,1
Will my bladder ever get back to normal after prostate cancer treatment?,1
At what meeting did Truman tell Eisenhower that he would assist him in running for president?,0
When should people with multiple sclerosis take Tysabri?,1
How is the taste?,0
What prize do Armenians receive from the government if they win a gold medal?,0
How many undershirts should you get for your baby before it is born?,1
Aspiration and preaspiration are used in what?,0
"Due to Victorias mourning over Alberts death, what political party gained strength?",0
In what borough is Fort Hamilton located?,0
How can surgery treat kidney stones?,1
How did you like to zoom?,0
"symptoms are fast heartbeat (90-95) low pressure (60-95) ache 2"" above belly button (felt when pushed) slight fever (99. 4) fatigue dysponea.",1
How was animation quality on this film?,0
How is the kitchen?,0
What happens during a CT scan?,1
What view towards cognitive development during adolescence did Piaget take?,0
how to burn the calories gaines from a medium sized burger i ate with extra cheese. is this okay to have it four times in a month.,1
What rating would you give dinner without having tried it?,0
"For boards with two sides, to what angle are leads bent to in order to install them horizontally?",0
How is squamous cell carcinoma  treated?,1
what are the ethical concerns of breast implants?,1
is it true that endocrine disorders are associated with obesity?,1
What does it mean to have protein in urine (proteinuria)?,1
What are proton-pump inhibitors (PPIs)?,1
 Governments created universities to serve as what?,0
How fun  is the story?,0
how do i know if one of my saline breast implants popped? i have had them for 7 years. if it did pop could it cause my period to not start?,1
How is a hair transplant done?,1
Chemicals called neurotransmitters are released at what part of the brain?,1
How is the chocolate?,0
what is the difference between a trivial and a small pericardial effusion?,1
What online publication ran a feature from a Comcast employee in 2014 that received attention?,0
how to get rid of my lower belly fat?,1
How do you get so high?,0
What are options for teeth whitening?,1
what can i do to prevent stroke?,1
What are symptoms of gum disease in pregnancy?,1
to begin with i only had 7 lumps had mammogram fibercystic they say but now i have found more but i have no insurance and the pain is getting worse?,1
How much does a plate of noodles cost?,0
Why is depression common among the elderly?,1
How do you like the end?,0
At what time in the middle of the night was the diplomat summoned?,0
"Because all five were in the top ten of Billboard's charts, this made Idol what?",0
"Outside of medication, how can I treat adult ADHD?",1
When should I call my doctor about shingles?,1
What is experience?,0
At what age did Harper Lee's mother die?,0
How describe the camera?,0
How was the size of the bathroom?,0
i have a red spongy like lump on my breast going in for mammogram on april 2nd any idea what it could be?,1
i have slightly chubby cheeks. is there a simple way to get rid of the fat?,1
What is spondylitis?,1
is it normal to have sinus tachycardia after food? i feel dizzy and weak every time after eating.,1
What will happen after a surgery for retinal detachment?,1
What is considered to be a problem with the Kinsey scale?,0
What is halitosis?,1
can taking paxil (paroxetine) make you gain weight?,1
palpitations/fever from std?,1
what should i do if i drank some alcohol and my chest hurts?,1
How can mental health medicines cause your psoriasis to be worse?,1
"Besides busses, what kinds of public transportation are offered in Cork?",0
Is it each one perfect?,0
What online source called the 360 the 6th greatest console of all time in 2009?,0
Is a migraine without aura life-threatening?,1
How long does a wrestler have to leave the ring once they are tagged out?,0
Where is the place none can be there ?,0
What causes a subdural hematoma?,1
Where can I select the right movie?,0
Within the cities there are markets that focus on what sort of cuisines?,0
too much alpha blockade? i take doxazosin for bph and carvedilol for early chf. should i change to metoprolol to avoid too much alpha blockade?,1
What might premenstrual syndrome (PMS) cause?,1
Zinc oxide is believed to be mentioned in what ancient text?,0
how is treatment of long qt syndrome different from treatment of arrhythmias?,1
Exposure to what compounds can also trigger asthma?,1
What snacks can boost my energy?,1
How is the keyboard?,0
How is car parking?,0
Who did the narrator confuse with Phyton?,0
with heart disease and diabetes is it safe to get a tattoo?,1
Will I need surgery if I have surfer's eye?,1
What can I do for a swollen foot?,1
Computer programs that can learn are studied in what field?,0
Does inheritance work differently in plants?,0
What can someone with cancer do to manage severe pain?,1
Why was the Somers Isles Company's charter revoked?,0
Where can you find brain-eating amoebas?,1
hello. i'm a 36 year old male with history of anxiety and pvcs. can't sleep. as soon as i doze off i get sharp pain below sternum. what is this?,1
What questions will my doctor ask me about my paroxysmal atrial fibrillation?,1
In what borough did the Battle of Long Island occur?,0
What are standard tests for HIV?,1
Half of Charleston's annual rainfall occurs in what form?,0
i experience chronic overeating. i live a very health lifestyle but i always feel hungry. i have got all the standard blood tests done. what should i do?,1
What creations brought in the modern industrial economy?,0
mammogram found a breast lump. what should i do now?,1
How important is vitamin D?,1
What other diets can help with rheumatoid arthritis?,1
btw i am obese. my bmi is 33. however i feel fatter even though my weight stayed the same. my waist has gotten bigger. is this possible?,1
tight cramping sensation left breast heart area. about a minute long. no other complications. history of inflamed chest wall and anxiety palpitations?,1
What oath was a requirement of the emperor's decree?,0
"For which song, did Destiny's Child take home the grammy award for best R&B performance?",0
Before the Great Atlantic Hurricane the boardwalk extended from Atlantic City to what other city?,0
is herceptin (trastuzumab) effective in treating bowel cancer?,1
What are the side effects of taking antidepressants for fibromyalgia?,1
Why were the gates foundation educational reforms critcized,0
Why was the US naval blockade not feasible?,0
Will you definitely get Lyme disease if you get bitten by a tick?,1
What orator was very famous during the revival movement?,0
How is the staff?,0
How is movie?,0
what does my total protein level tell me about my diet?,1
Do the poor families put a value on education?,0
What does it mean when my child can't see things close up?,1
What causes a boxer's fracture?,1
"Compared to hickory and ash, what adjective might be used for a maple baseball bat?",0
what is the name of the medical specialty who deals with circulatory disorders?,1
How can I quit smoking?,1
Early seventeenth-century Baptists were thought to be influenced by who?,0
"During that 18th century period, literature began to be applied how?",0
how do i prepare a diabetic diet for my son?,1
What are common symptoms of eosinophilic asthma?,1
What is uric acid and what does it mean if you have high levels of it?,1
How are children obtained for use as solders in Burma ? ,0
i have been having stomach pain back pain nausea and some breast pain what should i do?,1
How is the write?,0
"For best fidelity to the source, what three things should match the source? ",0
Before the invasion of what area was human sacrifice carried out?,0
Does hinduism only believe in a single god?,0
How do cheap variable capacitors vary the separation distance between layers of a plastic and aluminum?,0
At what local time does Chile change their clocks for DST?,0
"Other than genetics, what factors may cause ADHD?",1
How is the view?,0
Do chickens die in the sport of cockfighting?,0
How is surgery used to treat glioblastoma?,1
what might these lab results indicate please? ferritin - 307 vitamin b12 - 257 mcv - 100. 3 mch - 33. 8 rbc count - 4. 24 rbc size - 14. 1,1
i am feeling pain in my chest and some times in heart. it comes and goes away. . i am lean. is it sign of heart attack. i am really afraid to see doc.,1
How easy to open is this bag?,0
How is the waiter?,0
What other use did paper capacitors serve in the telecommunications industry?,0
is it cephalexin 500 milligrams every 4 hours strong enough to treat mild tooth abccess with mild facical cellulitis?,1
How can removing spinal fluid help with papilledema?,1
"Why does Euornithes mean ""true birds?""",0
Does Florida benefit from taxes,0
"Bactrian, Sogdian, and Saka are examples of what type of Iranian language?",0
What is alosetron and how is it used to treat irritable bowel syndrome with diarrhea (IBS-D)?,1
with mastitis how long does a fever last when prescribed flucloxacillin?,1
Zhejiang cuisine is one of how many great traditions of Chinese cuisine?,0
How can someone make better food choices?,1
How is the aftertaste?,0
What should you do if you get a UTI during pregnancy?,1
what can you not eat when you are on coumadin (warfarin) when you have diabetes?,1
had xray and lab work done today at er cause of a possible heart attack. all was normally except my bp. it was 100/49? normally ranges 90s/60s.,1
With whom was he said to have conspired?,0
How is the writing style?,0
Does the screen a problem?,0
What could be upsetting about the people?,0
does anybody know about breast microcalcifications that are not cancerous?,1
What are the symptoms of cervical radiculopathy?,1
Should I follow the Mediterranean diet if I have rheumatoid arthritis?,1
What is the quality of the construction of the bag?,0
Which calcium channel blockers do not cause erectile dysfunction?,1
Where can I get delicious dish ?,0
How are cavities treated?,1
What should you know about your medicine for diabetes?,1
"Due to this, the overall traffic planning tend to assure landing queues are avoided.",0
How many students regularly attend schools in NYC?,0
What usually causes snoring when a person is sleeping?,1
How is the camera?,0
How did the Burmese government respond to the unrest in 2012 ?,0
During his vacation in 1824 and 1825 who did Chopin spend his vacation with?,0
i am 36 have been extremely stressed about issues in the family and for the last 2 days i have been able to see my heart beat in my chest.,1
Faith in and veneration of Mahayana are stated in what sutras?,0
Did all Arians believe the same things?,0
how accurate is the pregnancy state incidental icd v22. 2 code?,1
Why are herds of deer starting to enter residential areas in London?,0
What must an adjective's case agree with in Czech?,0
Why were the lands in the region the Sumerian people settled fertile?,0
Buddism has what kind of parallels withother systems of thought?,0
How are coal-tar ointments and shampoos used to treat psoriasis?,1
What is an arthroscopic repair for fixing a rotator cuff problem?,1
What is a lipoprotein profile in relation to cholesterol level?,1
How likely are you to die from heart disease?,1
What types of containers is beer generally sold in?,0
What was the grave sacrifice in Cicero's time?,0
At what time of day is the quiet storm format played?,0
What triad of disease epidemics ravaged the American continent?,1
Can membrane of bacteria create lipid structure?,0
Duration options for subscription to PS+ are either three months or what period of time?,0
What conditions were suppressed in the 28 hour wake-sleep cycle studies ?,0
Why are my glands swollen?,1
Can you have an allergic reaction to silver fillings?,1
how would know if i am at risk of sleep apnea?,1
i am breastfeeding my five month old and am thinking of doing a low carb diet. is the composition of breastmilk affected by diet?,1
is there anything we can do to prevent late night cravings? thinking about food makes me hungry is there a way to stop that also?,1
What causes costochondritis?,1
"During the American Civil War, what classes of people did The Times support?",0
What thrived after the NES was discontinued?,0
What snack ideas are there for kids who are overweight? ,1
how can i lose weight on paxil (paroxetine)?,1
What components does he believe shoud be used in studies?,0
What is the fact about the cables?,0
How is a frozen shoulder treated?,1
At what time did Paul VI die?,0
Garze County and Zoige County in Sichuan experience what kind of climate?,0
bilateral nipple discharge with stimulation cytology was negative no lump or mass seen on u/s. is this accurate test for breast cancer?,1
How long is the battery life?,0
When is the best time to get the flu shot?,1
What adjective did Schwarzenegger say agents used to describe his body?,0
is subway considered healthy? i basically live off of subway. i do get lots of veggies on my sandwitch.,1
Can immune system problems lead to infections?,1
i am suffering from sexual exhaustion symptoms mainly hair loss and difficulty in erecting from sex. i am 21 male and not obese. i need solutions!,1
is it possible for a 50 year old to get a facelift & breast lift and look again like 30?,1
hello dr. adberg i have a very small scab like red spot on my right breast just above my areolla. i am concerned because i did some research online a?,1
Does a headache mean you have brain cancer?,1
"Before coming to New York, at what theater had Perfect Harmony previously been successful?",0
what are pica/pagophagia?,1
would it be recommended to to take 800 mcg of folic acid a day?,1
What usually happens at the conclusion of a lodge meeting?,0
What prevented Canada from fully having their own army at the start?,0
i weigh 33kg. i eat on time but i seem to get thinner. i feel tired all the time and i have headaches and chest pains and stomachaches.,1
is it safe to get liposuction done if i might have chlamydia?,1
"Before Islam was introduced, what was a common building material in Somalia?",0
When does visual impairment in children require specialized education?,1
What are the symptoms of heartburn related to gastroesophageal reflux disease (GERD)?,1
What is the cure for multiple sclerosis (MS) in children?,1
What drugs are used to treat Felty's syndrome?,1
How can you monitor bleeding during pregnancy?,1
Do males or females appear physically mature before they are capable of reproduction?,1
Fox quoted Burke's speeches from how long ago?,0
"Besides being the official language and language of education, what other group uses Catalan?",0
Hard Candy debuted at number one in how many countries?,0
How is hotel?,0
what happens if rheumatic fever goes undiagnosed and therefore untreated? will it just run its course?,1
Do you have any credit?,0
What prized cheeses are made in North Carolina?,0
Why was the US military so small initially?,0
How does phototherapy help mycosis fungoides?,1
Should I mix up positions and tasks when I have rheumatoid arthritis?,1
Should I take full advantage of feeling good if I have rheumatoid arthritis?,1
my sleep dr said that if i lose some weight it might help with my central sleep apnea. is that true?,1
What computer language was used in INGRES to access data?,0
How does euthanasia medication work to put my pet to sleep?,1
What should you do to diet for losing weight?,1
What radiating style are some Armenian churches built with?,0
What are some tips for your baby’s fifth month?,1
What method of spread can occur in antibacterial resistance?,1
What are often important to island ecology?,0
What types of discrimination are common in Nigeria?,0
type 2 diabetes hot red skin on left side of face and left arm?,1
How is kidney disease treated?,1
How is machine?,0
What is the link between stress and psoriasis?,1
is garcinia cambogia effective?,1
i am having trouble with low blood pressure shortness of breath and fast resting heart rate. i have idiopathic dcm and bi vent pm. ef is 38% why?,1
How is the quality of the concierge?,0
how do breast cancer lumps feel like?,1
Why are the Marshall Islands the most endangered nation on Earth?,0
what to do if i am feeling weak since yesterday and my pulse rate is very high?,1
why would you receive breast reduction surgery?,1
every week i get fever and now cold. i'm very thin my bmi is underweight.,1
what is optimal salt intake if salt sensitive and mild chf?,1
How is the zoom?,0
is it true that if you eat too much sugar you're more likely to get type 2 diabetes is this especially true in children?,1
What has love become?,0
"Aside from recreational use, in what other arena have iPods found use?",0
hi i had a bad cold which left my nasal mucosa on one of my nostrils very sore and dry the scab came off which left my nostril raw and there are lit?,1
Why are the other versions of ASCII not true ASCII?,0
i have lupus and kidney problems. i have been drinking one rockstar energy drink a day to help with fatigue. is it harmful?,1
What could deviations from proper religious practices cause?,0
Additional conventions were adopted at the regional level by OAS and who?,0
How do radiopharmaceuticals for bone metastasis work?,1
What can happen if you have adult attention deficit hyperactivity disorder?,1
What groups will plasma exchange help in treatment for multiple sclerosis?,1
How many copies of the game had been sold as of March 2011?,0
What problems can result from grinding baby teeth?,1
How can you treat skin problems related to HIV?,1
How is a C-peptide test done?,1
What was the first university?,0
What is aspirin?,1
Boston is the center for what type of capital firms?,0
an 18 year old had three abdominal cts. is it possible for an 18 year old male with no family history or risk factors other than vitamin d defficiency to get breast cancer?,1
What did Eastland believe the founders of affirmative action did not consider?,0
can pills enlarge my breast?,1
Can all bacteria in human body  be harmful?,1
What is considered to be the best remaining example of a house from the Georgian period and style?,0
i started methylprednisolone yesterday and i have palpitations i had 3 pills yesterday and 3 today but with the first one my heart pulse fast?,1
is there a connection with cholesterol and myocardial infarctions?,1
how calories do i need to lose weight?,1
How is control?,0
FST values greater than .25 represent very great what?,0
Why does Ashkenazim represent the overwhelming majority of Jews in the New World continents?,0
my mom has breast cancer and her mother had pancreatic. should she test for palb2? i'm negative for it but she wasn't tested.,1
how can i shed 20 kgs by diet kindly guide me a proper vegetarian diet plan without eggs and meat?,1
How can you tell if medications are causing your legs to swell?,1
Exposure to what natural element was necessary for early photographic plates?,0
What about the portion size?,0
how effective are cpaps at treating obstructive sleep apnea?,1
Should I throw my contact lenses away when I get an eye infection?,1
"During Season two, which judge quit after a few days?",0
How is the button?,0
Under whose rule were new Christian festivals added to previous Roman holidays?,0
How does organizing your work combat cancer-related fatigue?,1
What are whiteheads?,1
"Besides online gaming and media distribution, what other feature made the 360 influential, according to TechRadar?",0
What can happen if I get too much calcium?,1
could beer make your belly fat?,1
How was the concierge service?,0
what are the chances of medications like strattera (atomoxetine) causing acquired long qt syndrome in a healthy person with no family history of heart problems?,1
What could you not do to psychoanalytic theory that Popper believed crucial in genuine science?,0
What usually exploits statistical redundancy?,0
What is the most common benign breast tumor?,1
What activity in relation to breakthrough pain requires heavy use of opiods?,1
What are mood stabilizers for bipolar disorder?,1
What does surgery for stomach cancer consist of?,1
What types of cuisine are noted within Hyderabadi haleem?,0
what are the side effects of amiodarone?,1
Is it packaging ?,0
Wolves may act in what behavioral manner when attacking dogs?,0
What types of degrees were earned at al-Qarawiyin University?,0
Firewalls and exit procedures are considered what?,0
Can new clubs play too? ,0
"What animal was found dead at the Highway in Wapping, near the Tower Bridge?",0
i can't go a day without drinking caffeine. i always drink 1 or 2dr peppers a day. i have always weighed90lbs. why am i not obese yet? can soda kill me,1
What is distal interphalangeal predominant (DIP) psoriatic arthritis?,1
Bell needed to fix both the transmitter and what?,0
How are the results simplified when using the SASO?,0
sometimes (always at night) i have a really bad and sharp breast pain like inside my nipples. what could it be?,1
Haplodiploidy is what type of system?,0
What activity is done using a greased pole?,0
what are the serious long term side effects of duromine?,1
what are some causes of breast cancer?,1
What was the first use of 'police' in the UK?,0
What precautions should i take when starting exercising when i am obese?,1
Do antibiotics help treat gum disease?,1
How low is the cost?,0
which side of the heart is the aortic valve on?,1
what type of exercise is good for people with marfan syndrome?,1
How are the prices of the place?,0
"Did all AV receivers carry the demodulator circuits necessary for LaserDiscs, or only high-end models?",0
How's the side dish?,0
What describes the connection between the conditions of cyclic existence?,0
what does it mean when an mca aneurysm has thrombus?,1
even though i get a positive opk every month can my insulin resistance be the reason i am not conceiving?,1
At shorter ranges a light weapon with what is used on fast targets?,0
"If I have diabetes and I'm pregnant, will my baby have hairy ears?",1
What makes alloys more softer than normal?,0
how light is human fat?,1
How can high cholesterol increase your risk of developing heart disease during menopause?,1
Is coffee good?,0
what is the definition of a restricted calorie diet?,1
how can i be sure that i am eating enough protein?,1
What organization is the Institute of Russian Language part of?,0
How was the service of the staff member?,0
Why does a third of the population spend time at sea?,0
How do diet changes help treat eczema?,1
What should you know about a meniscus tear?,1
A broadcasts optimum format depends on what two things?,0
i have pins and needles in my hands and feet. on toprol (metoprolol) 25ml for hbp. can it be from mild sleep apnea or pre- diabetes. also feel light head sometime.,1
What are some tips to keep in mind when taking medication to prevent migraines?,1
Can I buy blood pressure tablets without a prescription? ,1
What are non-melanomas?,1
"Besides big trees, what trees are more likely to have a range of different kinds of wood?",0
What composer worked alongside Kanye on the album's production?,0
How is the taste?,0
what causes bowel movements in your sleep vertigo loss of balance fatigue exhaustion shortness of breath migraines diarrhea shooting pain neck?,1
How is the overall quality of the job on the hotel?,0
what are the reasons doctors keep saying belly fat will cause heart disease?,1
what are common causes of poor circulation?,1
since pvcs may indicate slight risk of developing heart disease what frequency of pvcs puts one in this category? 10-20 per day? many more?,1
what can someone expect after undergoing cardiac rehabilitation?,1
What Nobel prize winner has spent most of his life studying Hayek's capital theory despite being critical of the man?,0
How much riboflavin should I take to prevent migraines?,1
What is the definition of coarctation of the aorta?,1
how important is it to wear my compression garment after vaser liposuction? i've seen some doctors say they don't think it really helps and they don't even give their patients the garment to wear after vaser liposuction. does that mean i don't need to wo,1
When will a hamstring strain feel better?,1
What borough housed the first Chinatown in New York?,0
Władysław III of Poland was also the king of what?,0
How is cinnamon used?,1
How can you recognize mania?,1
What must be reduced in order to allow LaserDisc playback time to increase?,0
i'm 16 have a strong heartbeat which is seen through chest and stomach is this normal? i have anxiety. i have belly chest fat pulse moves shirt,1
what birth control pill isn't recommended for people with a family history of breast cancer? are any safe?,1
What are schwannomas and neurofibrosarcomas?,1
how might you accidentally cause a heart attack in a person?,1
hello my 3 year old son fell friday and hit his head on my dresser drawer it left what looked like an open wound but today it doesn't look bad because we sterilzed it and used antibiotic oniment on his head should we have taken him to the er anyway?,1
What objects emit less of their energy as infrared light versus visible light?,0
What happens during and after a parathyroid hormone (PTH) blood test?,1
Does hulled seeds are full of nutrients?,0
can cellulitis affect the healing of an ankle i fractured 14 days ago. it was only put in a full caste yesterday after 7 days flucloxacillin?,1
What drugs are used to treat rheumatoid arthritis (RA)?,1
What condition did Frédéric describe the piano that arrived to him through many dangerous obstacles?,0
Need advice on what is the the target heart rate to burn fat?,1
i have dark discoloured skin on ankle caused by dvt and venous ulcers. what treatments are available to get rid of the discolouration?,1
France and the Ottoman Empire united against what?,0
How is multiple sclerosis spasticity treated?,1
What is the definition of commissurotomy?,1
What over-the-counter antacids can help with treating occasional heartburn?,1
What should someone do when trying out a new moisturizer?,1
what would cause lymph nodes to swell on back of head. under 1. 5 cm but on both sides. swell up and down. ?,1
How is book?,0
What to do in case of high blood pressure?,1
What trend led to the decrease of Estonia's GDP?,0
How are clonidine and guanfacine used to treat ADHD?,1
what side effects can i produce if i take thyroid hormones to lose weight?,1
when do i need to start and how to prevent chd?,1
"""Tree house,"" which is two words in English, would be what single word in Dutch?",0
what is the difference between premature coronary heart disease and coronary heart disease?,1
How faithful is this film to the bible version?,0
Who did the new deal programs benefit?,0
What are the symptoms of jock itch?,1
what would it possibly mean when an 18 year old's pulse rate is at around 120?,1
how do i know if i have sleep apnea? i woke up in the middle of the night and could not breathe for about five second i'm sixteen and very worried about this.,1
How much does a radio with voice quality cost?,0
Why have many US Air Force pilots opted to resign from active service? ,0
I am 17 and have severe breast asymmetry. How can it be treated?,1
What did Edward's proposed marriage to Simpson cause?,0
what could be causing a cold blue swollen foot?,1
How do you treat sun poisoning?,1
What must Africans who recently immigrated do?,0
How did the Catalans show their identity during the dictatorships?,0
what is sleep apnea like?,1
