,prompt,completion
40484,How can a Mediterranean diet help treat rheumatoid arthritis (RA) inflammation?,1
809,Can a unborn child face issues with stress than can affect their future abilities?,1
1229,What act allowed polytechnic schools to become universities?,0
871,"Zinc, copper and aluminum alloys have use in what part of machinery?",0
4,How is the story?,0
154,How was the camera?,0
29759,Who should get palliative care for lung cancer?,1
11620,How do I know if my illness is something more than the common cold?,1
35772,What are tips to prevent oral health problems?,1
10706,Should you take fever reducers if you have the flu?,1
15449,is xenical or qysmia ok to mix while taking prenatal vitamins?,1
41376,What are the symptoms of systemic-onset juvenile rheumatoid arthritis?,1
1219,What animal was carried aboard the  Zond 5?,0
11891,What's the outlook for stage IV colon cancer?,1
34606,How effective are treatments for secondary progressive multiple sclerosis (MS)?,1
145,A Buddha is no longer bound by what?,0
152,How big is the camera?,0
231,How is it cup ?,0
3452,Can I stay active and energetic with atrial fibrillation (Afib)?,1
504,Is it an excellent stay?,0
220,"Before being converted to RGB, colors are ususally broadcasted using what color space?",0
836,Who did the new owner of the Cubs sign from the Boston Red Sox?,0
1444,What must Australian and New Zealand citizens do in order to apply for residency in Norfolk Island? ,0
18065,"will a fat transfer help for ""not big enough"" breast implants?",1
26139,i count calories. im now hearing that may be bad and it slows down your metabolism. is that true? thank u.,1
798,Besides boats how does St. Barts import most of its food?,0
316,What is your opinion about the character?,0
49,What is novel?,0
576,What do you think about the hotel?,0
15159,i have hashimoto & insulin resistance i ve had no sexual libidi for 5 yrs now i m being treated for afore said conditions but still no libido help!?,1
20519,What is uveitis?,1
1412,is it necessary to give tetanus vaccine to prepubescent kids with injuries even though they have received three shots of tetanus toxoid as toddlers?,1
586,How far was Marconi able to get his signal to go using this technique?,0
26743,How is a radionuclide ventriculography used to diagnose heart failure?,1
23339,What are some options to help with the ringing of tinnitus?,1
1174,What concept was Frédéric credited with creating?,0
111, For what trading company did Kelsey work?,0
76291,does inflammatory breast cancer look like a 4mm circular sore that's been there for over a month and has new skin growing over top? i'm nursing.,1
38102,What do doctors use to check for prostate cancer?,1
498,Do you want to feel my kisses?,0
270,How is the size?,0
44439,What happens during remission for ulcerative colitis?,1
22412,what do i do if i have the end of a q-tip in my ear?,1
6111,uti cellulitis and lost about ten pounds within a week. was tested last year for diabetes and told pre-diabetic. should i retest? are these symptoms,1
868,Zinc in the main metal used in making which american currency?,0
1453,What movement method do some burrowing annelids use?,0
21509,When will I feel better after a wrist sprain?,1
841,"Yale also has a theater managed by its' own student, then name?",0
195,How was the camera?,0
769,How are bergschrunds different than crevasses?,0
477,Following the crusades which country was dominated?,0
1326,What radical political changes occurred during the 19th century ?,0
11745,What is laparoscope for proctosigmoidectomy?,1
41145,How is Enbrel used to treat rheumatoid arthritis (RA)?,1
1364,What physical symptom accompanied Muhammad's revelations?,0
16529,would i be eligible for ultrasonic liposuction with the medication i'm taking? i am a woman in my 40's. i am no longer taking warfarin but i am taking plavix (clopidogrel) as part of my anticoagulant drug regimen and i would like fat removed from my butt,1
136,What port do you prefer?,0
32030,what happens if overweight people make up 2/3 of american adults why are so few on college campuses overweight?,1
61813,what is the definition or description of: gynecomastia?,1
1239,What adjective did Choules use to describe the shops of Southampton's High Street?,0
489,"For small dogs, what is the average number of pups in a litter?",0
43694,How can you reward yourself for quitting smoking?,1
103379,please can you explain what atrial flutter with variable av block compatible with a bundle branch block. possible inferior infarction probably old is?,1
127271,why do i have poor circulation on my right arm.,1
12,Advertisers switched from print ads to what to reach more customers?,0
646,Why have birds been domesticated by humans?,0
37476,How can I prevent pancreatic cancer?,1
55432,can you tell me which medications are most often prescribed for type 2 diabetes. what are their primary side effects?,1
40455,What will your doctor look for in other blood tests for rheumatoid arthritis (RA)?,1
20315,What are the advantages of photorefractive keratectomy (PRK) eye surgery?,1
34188,possibly bad sleeping habit rather than sleeping disorder? i am 20 years old healthy work out eat healthy foods but can't sleep at night. i can never fall asleep till after 230am and then i sleep in till 1130am. this has been going on for about 3 months,1
1296,Why are some glaciers stagnant in Alaska?,0
34914,please describe a good high fiber diet plan?,1
117677,will a aortic aneurysm disappear?,1
564,How are the selected cars then readied for passengers? ,0
119, Many earlier built  freight elevators were controlled by what?,0
919,Why was he investigated?,0
271,How can I get good bread with a good texture in this hotel?,0
26536,What is stage D heart failure?,1
65359,is there any way to relieve breast soreness days before your milk comes in?,1
39822,How does iron relate to restless legs syndrome?,1
94,How will you deliver the book to your wife?,0
170,How was the design?,0
12087,What does it mean if my rectal cancer has recurred?,1
296,How is the texture?,0
18292,What other treatments are available for men with diabetes and erectile dysfunction?,1
1127,What compound is UF6?,0
1083,What could the prophet Laozi offer in return for the confession of sins?,0
530,Games in plain PlayStation format can be played both on the PS3 console and what other device?,0
278,Computational neuroscience is concerned with what two studies?,0
8585,How long will I need to keep seeing my doctor for Ewing's sarcoma if the treatment works?,1
6975,What is the TNM staging system for thyroid cancer?,1
481,What is the quality of the server?,0
133092,what do you advise for heart disease history and smoking cigarettes?,1
51,Why don't I get antibiotics when I have a cold?,1
1334,What profession of people made up the entireity of the Comitia Centuriata?,0
47769,can sleep apnea cause a person to have nightmares?,1
15014,What dental care supplies should I keep if I have diabetes?,1
45823,What are the recommendations for pregnancy nausea or vomiting?,1
214,Bagaru and Sanganer represent what type of art?,0
49149,can dental work like bonding and grinding of rigged teeth cause tmj sleep apnea problems with epiglottis tongue enlargement suffocation?,1
861,Zen focuses on what type of breakthroughs?,0
179,How is the function?,0
551,How are dogs viewed in Asian countries?,0
205,What is cracker?,0
27921,How is renal artery stenosis treated?,1
663,Write operations to typical Hi-Speed hard drives can what?,0
20062,What can I do about eye floaters?,1
18800,How does ocular herpes (herpes of the eye) damage your cornea?,1
13090,How common is dysthymia in the United States?,1
44735,What are weighted cones for urge incontinence?,1
29595,What causes walking pneumonia?,1
15151,Which diabetes medicines are thiazolidinediones?,1
113479,what diagnostic procedure would show an image of a bleed caused by a cerebrovascular accident?,1
59652,"bmi of 15. 5. 24"" waist. 25 yr old f 5ft. dipstick detected protein in urine. dark green - 300? what is happening?",1
76498,hi my mum was diagnosed with dcis with focal microinvation. er/pr - her-2 +3 ki67 positive in about 15% of the dcis. (tum siz=2cm) is this danger?,1
33210,What makes acupuncture unique as a treatment for migraines and headaches?,1
51764,how can i loose weight?,1
442,Elements in a half wave dipole and on an identical axis are said to be what?,0
515,How is it staff ?,0
5474,What is pseudobulbar affect?,1
42852,How effective is sclerotherapy?,1
924,Why was it natural to have Ford Motor Company based in Cork?,0
43782,headaches every day snoring at night?,1
1213,What borough has the largest population of ethnic Albanians?,0
157,"At minimum, how many regular season games did the AFL agree to broadcast?",0
1075,How do you know what medication is best for your child's ADHD?,1
343,Dog could also come from the original layer of what vocabulary?,0
15566,Does the type of food I eat affect my blood sugar spikes after meals?,1
39739,What are some side effects of medication for psoriatic arthritis?,1
111983,what are the sign to look for when taking warfin that things are not going right?,1
1376,What organization is the FBI a subset of?,0
41367,How can you tell if you have rheumatoid arthritis or Lyme disease?,1
5974,What are the 5-year survival rates with each stage of breast cancer?,1
459,How much space is there?,0
121798,what causes one to experience poor circulation in the hands and feet?,1
5511,my baby has puss-filled spots on her back and face they come up overnight and have no idea what causes them?,1
892,Women's education common stressed which literary genre?,0
145,Does the company has available driver?,0
554,How are some abstract characters represented in Unicode?,0
222,What is the size like?,0
23590,What causes tinnitus?,1
15,Affirmative action attempts to ask institutions to grant extra consideration to what group of people outside of Native Americans and women?,0
33757,What are the side effects of interferon drugs and Copaxone for multiple sclerosis?,1
38419,very dark brown/black diarrhea for 2 days. i took garcinia cambogia over a week ago but stopped because it made me vomit. what is causing this?,1
26940,what are reliable doctor-recommended healthy snacks to eat while dieting?,1
1154,What concept did Kato Kiyomasa think should be studied every day?,0
97071,hey. 'skipping' palpitations over last two days no dizziness pains or breathing probs as of yet. not heart patient. anything to concern over?,1
3,How can I write something terrifying?,0
10737,Does exercising prevent colds?,1
9574,is meclizine and ephedrine (ephedrine sulfate) available over-the-counter in the us?,1
991,What usually covers the whole trunk of a very young tree?,0
98544,i have been having sudden severe headaches on both sides of myhead in my temples when my heart rate accelerates. itis severe throbbing pain?,1
44586,can u take alli and hcg drops together then take a multivitamin at bedtime. of course i plan to diet and exercise. im pretty much obese?,1
9,How much of the talent of Christie is seen in her novels?,0
46006,What causes secondary hypothyroidism?,1
28108,When should you call your doctor after an HSG?,1
14702,Are alternative weight loss therapies effective?,1
251,By 2007 how many square feet of office space did Houston have?,0
39674,How can stress affect psoriatic arthritis?,1
81565,if my baby's heart rate changes significantly does labor have to be induced?,1
176,Do you have any computer with mouse?,0
100,My dentist offers special treatment for anxiety patients. How does it work?,1
139,Are the images of very good quality?,0
1068,What could have cause loss of power via the use of the term biracial and multiracial?,0
63185,how do i find information on mastocytosis?,1
449,What is the nice noodle?,0
546,How are children mistreated in Nigeria?,0
36706,please help docs! is sushi allowed in a hcg diet?,1
31621,What are the symptoms of histrionic personality disorder?,1
506,How is the room service?,0
118,How is action?,0
1425,What number of Christians did Selim the Grim equate to the killing of one Shiite?,0
27281,When should you call 911 for heartburn or a heart attack?,1
24455,What can happen when taking a potassium blood test?,1
478,Following the departure of the Soviet immigrants what was the percentage of Estonians in Estonia?,0
174,What is the sound quality?,0
262,How would rate the value for money of the product?,0
48,How is the characterization of the actor?,0
529,Where can I get the reception staff?,0
297,How is it ingredient?,0
11577,How long is a sinus infection contagious?,1
243,How do I know if these snacks are good?,0
40751,how can i treat obstructive sleep apnea?,1
36294,How is osteoarthritis of the hand diagnosed?,1
206,How do you like cracker?,0
353,"Due to electric chair malfunctions, what method of execution became preferred?",0
314,How does the movie become at times?,0
309,Do boys or girls grow muscle faster during puberty?,1
1388,What ordering scheme did readers prefer?,0
1196,What condition besides sea level rise can damage coral reefs?,0
24826,i'm diabetic type 2 38 yo male. no meds - on diet/workout. regular bg levels are ok. latest hba1c1 is 5. 7 can diabetic foot develop? what symptoms?,1
1622,What are the side effects of the Td vaccine?,1
530,How is the service?,0
909,Why was the first route not taken?,0
127831,what to do if i need an exercise plan to strengthen my abdominal muscles one that i can do at home?,1
7901,How is advanced penile cancer treated?,1
8253,What are the types of cancer remission?,1
456,What do you think about location?,0
251,what might happen if i don’t get cellulitis treated?,1
858,Zbigniew Brzezinski and Malik Mohan consider what country to be a great power too?,0
328,How was the voice?,0
31970,Could you cure your headache with caffeine?,1
22190,What causes hair loss?,1
83836,i had a svt episode n my heart rate went up to 180 & it last about 6-7 minutes total. please help?,1
1437,What must a user do under a prepared license?,0
531,How is the hotel?,0
7,Adolescent cultural differences are especially visible in which type of autonomy?,0
380,How is the day like?,0
124, What is a major function of a foundation?,0
36943,How do antidepressants treat pain relief?,1
10135,How are triglycerides measured?,1
22,When will my new tattoo be completely healed?,1
315,Does this is film contains strong scene?,0
16896,How can your eating habits affect swallowing problems?,1
1245,How many students receive financial aid at Eton?,0
118387,what does this sound like? i have daily blackouts. no fainting but no sight and no hearing. it's like someone has turned off the lights without warning and placed my ears on mute. how long does this happen each day? i couldn't tell you because it happens,1
1385,What order is the breakdown field strength for air dielectric capacitors of?,0
32899,Can children get headaches?,1
448,England played against countries besides the Home Nations for the first time in what year?,0
448,How is the restaurant?,0
104,Is the bass sound the deepest ?,0
785,How did the Chichimeca survive?,0
4007,How should I talk to my infant?,1
6,Admiration of performers for new interpretations can be seen when composers feel the performer achieve what?,0
61961,brown rash exactly where my testicles lay in groin area on both inner thighs. no itching. hygenic/not obese. what is this and how did i get it?,1
128519,what are the symptoms for heart attack and diabetes?,1
391,"During informal consultation, what is the goal?",0
1173,What concept was de Candolle considering as he studied plants?,0
263,Children under what age often cannot comprehend sarcasm?,0
745,Half the population of Jews live in what borough of New York City?,0
38764,How are biologic drugs used to treat plaque psoriasis?,1
319,Do peer acceptance and social norms have a greater or lesser effect on behavior at the onset of adolescence?,0
1176,What concept's use has declined significantly in the U.S. during the 20th century?,0
1070,What could help to spur pharmaceuticals to make new antibiotics?,1
190,How is the time?,0
3879,Should I be screened for breast problems if I'm breastfeeding?,1
24452,When do symptoms of Epstein-Barr virus show up?,1
797,"Besides boarding bridges, what also doubled in 2014 at Brasilia's airport?",0
283,Destiny's Child released a compilation album about which topic?,0
14167,i had gastric bypass almost 8 years ago over the past couple years ago i have had horrible leg cramps on the inside of my thighs they are horribly painful and also seem to happen when i have a lot of swelling in my legs relief?,1
6796,How can I prevent itchiness with polycythemia vera?,1
342,Dog cognition has been studied on what kind of dogs?,0
78699,early period lasted 3 days one day heavy then very light spotting still experiencing pregnancy symptoms cramps breast tenderness nausea pregnant?,1
1048,"What descriptive name was Op. 64, No. 1 given?",0
1126,What composes the cell envelope?,0
18898,i'm just wondering if you take hydroxycut do you have a chance of catching liver disease?,1
25708,What do the results of an ankle-brachial index (ABI) test mean?,1
66508,i haven't had a period for 6 months now i've took a pregnancy test it came back negative i now have breast pain for about 2 weeks now and headaches?,1
34512,What will the results of an evoked potential test tell my doctor?,1
80,How is the writing style of the book?,0
164,What do long-term studies suggest about substance abuse in boys with ADHD?,1
123124,what is the difference between hdl (high-density lipoprotein) and ldl (low-density lipoprotein)?,1
77918,mri biopsy was done and showed dcis. histopathology showed invasive ductal with 2. 5 mm microinvasion (grade 2). er-pr negative her +ve (+3). my ques?,1
44578,How do you do kegel exercises for bladder training?,1
135730,what are the symptoms of having a hole in the heart?,1
28337,is their any way to loose weight without going on a diet and without doing more exercise?,1
1301,Why are the plates and dielectrics often staggered in larger value capacitors?,0
27613,What are the two main types of fatty liver disease?,1
1338,What prize was awarded to the winning amateur dirctor film at the 2013 Sundance Film Festival?,0
1255,Why are certain bacteria called predatory?,0
26,What is medical cannabis?,1
19581,How is an infected cornea treated?,1
502,For which vocation did Popper complete his university examinations?,0
30113,What happens when someone has popcorn lung?,1
844,"Yale University also contains a historical site within it campus, the name of it?",0
24869,How long does a rehab program take after a knee or hip replacement surgery?,1
241,What is coffee like?,0
20208,what are the downsides to gastric bypass?,1
1224,What activity did Kanye West start doing when he was five?,0
1432,"What Nobel Prize did Nakamura, Amano, and Akasaki receive in 2014?",0
420,Each tradition has its own core what?,0
697,El Salvador was home to which indigenous peoples?,0
1292,Why are smoking bans in place?,0
683,Can one increase their brain efficency?,1
423,What is the prince of a plate in this restaurant?,0
43327,"How do the drugs Ditropan and Levsin work for bed-wetting, and what are their side effects?",1
20112,i have an ldl 131 mg/dl hdl 54 mg/dl and trig 115 mg/dl. i eat plenty of fruits and vegetables exercise don't smoke/drink and have a bmi of 21. ?,1
1806,What  trees  are bad for pollen allergies?,1
22198,What is alopecia universalis?,1
1064,What could happen to the top few teams at the end of the season?,0
18901,i have pcos and i take metformin tab 800mg daily. i complain of headache due to lowering my blood suger. is metformin bad? and i want to lose weight.,1
1110,What component of a universal motor is most likely to fail?,0
509,"Formerly known as the Viceroy's House, which large building is located at the heart of New Delhi?",0
97992,how soon do heart arrhythmias start?,1
540,How are allopatric populations separated? ,0
42378,What is a staph infection of the skin?,1
1285,Why are tagging rules made?,0
132,I have ADHD; what will I most likely have trouble with in my job?,1
29104,What are questions that I can ask for my doctor about follicular lymphoma?,1
85181,im suffering from anxiety more than a year now can this lead to a more fatal disease like what? normal 2decho threadmill stress test ecg chest xray,1
344,Dog fat in some parts of Poland is thought to have what?,0
244,How do I open the package?,0
368,"During ""The Troubles"", who waged assaults via bombings on London?",0
363,Dukkha can be translated as what word in regards to unhappiness?,0
491,"For Sunni Islam, what does the word Imam commonly mean?",0
870,Zinc oxide is used to fortify what product?,0
14651,is this normal? i've lost about 5 pounds over the last two months by cutting down my beer drinking. my diet and exercise level is the same. awesome!,1
28670,what can i do if my bmi is 28 and i need to get it down to 25 to not be overweight any help and tips?,1
16617,what part of the body does obesity most effect?,1
1143,What computer did Arthur L. Samuel program to play checkers in 1957?,0
5439,How are brain lesions diagnosed?,1
1236,What  is asthma usually classified based on?,1
14792,Am I more at risk for cataracts and glaucoma if I have diabetes?,1
128264,will simvastatin 40mg and 1000mg of niacin and 2gs of fish oil and 1200mg of red yeast rice 1200mg help bring my cholestrol come down.,1
3504,is there a website that shows everyday how long you can be outdoors at your location before it becomes dangerously cold?,1
75859,are there any natural ways to enlarge your breasts? i'm tired of hearing about augumentation. please tell me about the pills or creams that really work.,1
694,"During the summer solstice, for how many minutes did hora tertia last for the Romans?",0
6464,What are the symptoms of breast cancer?,1
99453,i was hooked up in er to monitor. rhythm was steady when laying down but changed when i sat up and twisted around. i noticed my rhythm became somewhat erratic and had a sharper tip. hr ok. oxygen level dropped upon sitting up and bending over.,1
233,How are pasta is firm?,0
121,What temperature is the device?,0
917,Why was green chosen for a number of new European political parties in the 1980s?,0
1136,What compression is usually performed with even more specialized techniques?,0
23080,why do i always get a pimple in my ear? thanks!,1
23982,How is a saliva test done to measure cortisol?,1
230,How is the texture?,0
335,How is the set?,0
565,How are the sender and receiver connected in a slightly more complex form of communication model?,0
713,Eyak and Tlingit are some of the peoples who are collectively called what?,0
440,How is the meal?,0
434,How was this place?,0
421,"Early on, what did they defend against with the British?",0
807,"Bribes also halt unions, the protection of children in labor, and what?",0
21926,i feel overweight because i've been depressed amd have turned to eating a lot. am i overweight? i am 27 is 5ft 3in and i weigh 152 lbs.,1
364,"Dukkha is often translated as suffering, but the philosophical meaning of dukkha of more closely related to what term?",0
28462,What tests are used to diagnose IBS-A?,1
361,Due to what concerns is diesel fuel no longer used as a release agent for transporting asphalt?,0
493,How is the steak?,0
31082,How can blood vessel problems cause blood in semen (hematospermia)?,1
123,What is the rating?,0
27680,How does treatment help with hepatitis C if you've had it for a while?,1
557,How is your social position?,0
826,Where did Sir Francis Drake attack in 1585 and again in 1589?,0
28160,What should you know about luteal phase defect?,1
3212,What is bronchial thermoplasty for asthma?,1
170,At what local time does the United States change the time?,0
1397,What opened doors for long recordings?,0
94975,how can your resting heart rate translate into the amount of calories your body uses?,1
248,What does the tea taste like?,0
251,How is the taste?,0
51,How many books does this series have?,0
34326,What is myoclonus?,1
1476,What makes bacteria resistant to antibiotic treatment?,1
735,"Generally, what powered the relay contoller?",0
30169,How can you get shortness of breath from surgery for non-small-cell lung cancer?,1
56,How is the world building?,0
384,"During his time in college, what did Gaddafi study?",0
89,Where can I find a book with more detail?,0
20417,What are the advantages of laser epithelial keratomileusis (LASEK) eye surgery?,1
31502,What causes dependent personality disorder?,1
1411,What object sources the data in of the first LED of a digital rgb LED?,0
9334,Who's more likely to have HPV?,1
55810,how do i figure out why i am not losing weight on this low calorie diet?,1
84245,inverted t wave in lead 3. normal chemistry/cbc. next day t-waves were normal (upwards) causes for this?,1
1030,What did Eastern European people want to do with communism?,0
39635,What foods can help with swelling in psoriatic arthritis?,1
111508,why would the pain of angina be brought on by exercise or stress?,1
983,What was the first wave of modern Jewish migration to Ottoman-ruled Palestine known as?,0
218,What stuff does this dish have?,0
52853,hey! i have a hard bump on my lower jaw right before turning for the chin. it seems like it's part of the bone. what could it be? obese 18m.,1
109002,vasculitis and tachacardia do they always go together?,1
1218,What animal was believe to be the only land vertebrate of Bermuda?,0
120096,why do i feel my chest burning when i bench press?,1
624,Name a peasant rebel leader?,0
31805,What plays a role in headaches and migraines?,1
115298,why is there not cure for common cold?,1
62,How is the great deal?,0
14670,What can I expect from lipodystrophy?,1
585,How far was it from Chengdu?,0
20682,What can you do at work to help with fibro fog and fatigue?,1
702,Electrodes are often glued to what like in EEG studies?,0
314,Do girls who are malnourished start menustrating earlier or later than those with high-fat diets?,1
58124,can we get flat belly in a month? and how?,1
767,How are bantams different from other chickens?,0
833,Who did the Neo-Confucian establishment have animosity towards?,0
36451,need to reduce weight?,1
598,How is the view from this hotel?,0
9432,What happens during a pelvic exenteration for cervical cancer?,1
163,What do you think about price?,0
550,How are Christmas colored light bulbs created?,0
47192,why do they treat some woman with breast cancer with herceptin (trastuzumab)?,1
1031,What did Eastern Nigeria want to call itself as an independent nation?,0
37,How good is book number one?,0
957,Why are certain larger transformations not permitted?,0
856,Yugoslavia was the only communist country to have an embassy where?,0
103561,what causes frequent pauses in pulse when holter monitors have ruled out premature beats? cardiac work up normal but i do have skips in pulse.,1
1205,What conditions caused the delay of drilling in mid-2012?,0
17168,What can a blood test tell you about your pancreas?,1
9208,How is low-dose aspirin used to treat polycythemia vera?,1
1078,What could still serve the purpose of the first common Slavic literary language?,0
28984,How is an infection or infectious arthritis described and treated?,1
36531,How do opioid (narcotic) pain medications work?,1
1952,i had a cut mark on the hand. there is a hard layer formd btw the space creatd by 2 cuts. what should i do so that the scare will be gone?,1
10017,Should I take my child to the hospital because of a broken bone?,1
28441,Which foods should I avoid if I have IBS?,1
24,What is the solution?,0
11088,Does it help to put heating on sinuses for a cold?,1
136737,can gas in the stomach cause heart palpitations?,1
90196,why one should not worry about lafb? my ecg says i have lafb. i am a very active healthy and so far no hbp or diabete. how bad is prognosis?,1
24982,What are some ways to ease the effects of stress on your skin?,1
57951,am i at risk of having a stroke if i have sleep apnea?,1
1203,What condition was Napoleon's body in when it was moved in 1840?,0
322,Does the audio is mono or stereo?,0
3175,What are other systemic steroids besides prednisone is used to treat asthma?,1
1318,What race was the majority of Singapore's population?,0
376,How is movie?,0
4162,what to do about second-degree burn can you help me?,1
30,How is the story line?,0
1343,What problem caused the papal brief granting the right to publish to be withdrawn?,0
3678,How can cognitive behavioral therapy help treat Asperger's syndrome?,1
106353,hello dr. allan i woke up worried today because i noticed a purple spot on my knee that doesn't hurt or itch. i also get chest pains.,1
401,Is a noisy place?,0
1011,What trees are protected along the coast of San Diego?,0
538,How are a and e in western dialects?,0
14110,How likely can you get kidney disease with type 1 diabetes?,1
1369,What other types of theater performance are seen in Nanjing?,0
1170,What concept relates measurements of time and velocity of two observers in motion relative to each other?,0
3947,i had two cellulitis infections (one behind ear and one on lower stomach) at same time with a very swollen lymph node behind my ear. is this unusual?,1
410,"During the courtroom scene, what happens to the audience?",0
1340,What pro team has FC Ararat beaten?,0
34294,should the government pay for gastric banding for obese individuals?,1
1160,What concept does yoga accept the differentiates it from Samkhya?,0
269,"Circa 2000, what was the latest pubs in Wales could be open until on every day but Sunday?",0
111,How is the offer of apps on this tablet?,0
49,zispin or lexapro (escitalopram) which is best for anxiety. thanks?,1
571,How do characters differ in Mexican wrestling?,0
1129,What compound was discovered to induce sleep?,1
19085,What are halos in vision?,1
20077,What is a slit-lamp test to help diagnose eye stroke?,1
14672,What part of food affects blood sugar the most?,1
42304,What are extreme cases of frostbite?,1
18,How would you describe the gift of Gregory in writing historical fiction?,0
114902,what are the symptoms of a leaky aortic valve?,1
1069,What could have made temperatures more extreme?,0
696,El Paso and Ciudad Juarez combine for a population of how many people?,0
108,How is the capacity?,0
53345,does bodybuilding stunt growth? some say squats etc. do that. and is it ok if i workout at the age of 16,1
90680,what is causing my pulse rate to be so low? it's 34 beats a min.,1
13045,is it ok to eat pumpkin seeds while on the atkins diet?,1
106830,normal sinus rhythm. possible lt atrial enlargement. cannot rule out ant infarct age undetermined. abnormal ecg. had pain in left chest and arm.,1
103461,should i worry if i'm constantly having an increase in heart rate and chest pain? could it be deadly or will i be fine.,1
6617,What are some tips to help you choose the right treatment for breast cancer?,1
1046,What description of the writing in the Quran highlights its poetic aspect?,0
460,Why do I have a big food?,0
849,YOutube does not often post a what for its videos?,0
127,A book is likely made with paper that has low amounts of what component of wood?,0
374,"During and after the 80's, what helped a cappella music rise in popularity?",0
49044,what does benign to malignancy mean in terms of breast lump?,1
49940,do thermobol fat metabolizing tablets work?,1
68215,how much must i expect my doctor to educate me on breast cancer screening?,1
4632,How likely is a relapse after remission from an acute episode for someone with bipolar disorder?,1
50,What should I do if a have a bad reaction to my medication?,1
3245,Are asthma and sinusitis linked?,1
29837,Are chest X-rays effective for diagnosing lung cancer?,1
37462,How does pancreatic cancer begin?,1
39750,What are some energy boosters that can help prevent psoriatic arthritis-related  fatigue?,1
44,What if medications make me too sleepy? ,1
51307,can anemia be secondary to dm2. i wasn't told what kind of anemia and would like to ask how to rule what type i am.,1
131,"""Compensation"" consists of what?",0
657,"Why was the tactic of bombing German aircraft bases, factories and fuel reserves impractical?",0
103646,what causes sudden rise in bp? i've had massive heart att and chf. taking my bp meds as normal. did this way before heart attack. causes?,1
1201,What condition is iron and steel alloys slowly oxidized?,0
32144,Do tension headaches keep a person from performing daily tasks?,1
34556,How do interferon beta medications treat multiple sclerosis?,1
78438,breast augmentation in cirrhotic patient could pose for potential infections due to the foreign object? what precaution can you recommend?,1
295,Do all language make the distinction between poultry and fowls?,0
31714,What are warning signs for suicide?,1
121685,what is the presumed cause of most aneurysms of the abdominal aorta?,1
1272,Why are larger cathedrals and churches associated with the Gothic style?,0
3545,if i see a tornado which direction should i drive as in north or south or.?,1
626,Name a private business school located in Ann arbor.,0
386,How looks this one?,0
39233,how can i lose 40 pounds in 4 months?,1
65802,im 31my breasts are very small i have to wear push up bras to look like i have something. dont want to have breasts surgery so what is my options?,1
686,Does Paris see snow?,0
23085,How soon after amputation does physical therapy start?,1
943,Why does geography have an effect of the amount of solar energy available?,0
3088,What should I do if I have an astma attack while exercising?,1
12731,What do compression stockings do?,1
15513,what benefits does laser liposuction have over conventional liposuction? i am wondering if it's worth the longer wait for results with laser as opposed to conventional liposuction. i am leaning towards the former due to the fact that it is not nearly as i,1
212,When you taste the milk?,0
893,"Wood extractives include resin and fatty acids, terpenes, and what other component?",0
396,Is film good?,0
413,"Each day, about how many New Yorkers bike?",0
454,How is it the busy atmosphere?,0
758,Holden acknowledges that defectors are seldom allowed a what from the church?,0
232,"Besides a ground, what has these phases apply well to?",0
34845,Are there ways to make life with multiple sclerosis easier?,1
437,Einstein showed how what could be altered by high speed motion?,0
7618,What should I ask my doctor if I am diagnosed with hepatocellular carcinoma?,1
1015,What trend has accompanied Estonia's cooperation with Western powers?,0
1133,What compression did Euro1080 later change to?,0
343,How is the picture?,0
16482,What should I do if I am constipated?,1
55695,how long do i have to wait to breastfeed after taking fat burner shack?,1
786,Under whose reign did Byzantine historiographers describe Slavic tribes?,0
68163,i had a breast biopsy and was told that the calcium deposit were suspicious. what does that mean?,1
31043,How effective is surgery for Peyronie's disease?,1
25398,what is the main reason a doctor would recommend body jet liposuction over other lipos?,1
301,How is the tone?,0
74,I am really trying to reduce my waiting time but I have not received any satisfaction. Do you have any tips please? ,1
40674,How are biologic drugs used to treat juvenile idiopathic arthritis (JIA)?,1
1084,What could the reference software demonstrate?,0
132393,what makes a person lose control of his emotions? it seems when i don t like the situation my chest starts to hurt and i get short winded.,1
87075,what's difference between olmesartan and valsartan?,1
940,Why does Eritrean cooking tend to feature more seafood than Ethiopian cuisine?,0
107852,legs twitching and sometime thigh vibrates hard twitching moves to top half but not as often. magnesium deficiency? calcium fine.,1
1361,What physical characteristics are common in Islamic architecture?,0
616,In what component of electrolytic capacitors did Becker believe was similar to the porous carbon electrodes?,0
8852,How do you know if you have an H. pylori infection?,1
693,"During the summer in Nome, about how many hours ahead of the sun do they set their clocks?",0
1426,What number of cup finals did Arsenal reach in,0
275,"Commercial projects in the late period tended to be ""architectural"" in what way?",0
352,"Due to discrimination, some Christians converted to what religion?",0
1401,What oil company leader is an alumnus of the University of Kansas?,0
233,"Besides a motor, what did Gramme use the other device for?",0
1209,What conditions would a doctor prescribe antibiotics?,1
111712,what can you do to reduce risk of a stroke after a transient ischemic attack?,1
2778,When should you check for ticks?,1
28237,will eating healthily make me lose the belly fat?,1
357,Due to the replanting of trees the center of the city is called what?,0
103852,i have mobitz type 1 and anxiety. i got root canal treatment coming up i'm so scared my heart have a reaction to the numb injection. will i be okay?,1
1150,What concept determines relationships between Grand Lodges?,0
2566,How can relaxing visualization help with generalized anxiety disorder?,1
631,is mrsa the main cause of cellulitis nowadays?,1
226,Was the chocolate bar tasty and crunchy?,0
137,5000 men represented what fraction of General Lee's army?,0
